;name;Lat;Long;OriginatingFrom;DisabledTripsFrom;AtThisStationDisabled
1;Acton Central;51.508757;-0.26343019;0.05;0.04;0.98
2;Acton Town;51.503071;-0.28030269;0.29;0.45;1.96
3;All Saints;51.510477;-0.012624882;0.03;0.02;0.77
4;Bank;51.513347;-0.08900012;1.04;0.18;0.22
5;Barking;51.539521;0.080831614;0.54;0.85;1.94
6;Barkingside;51.585851;0.088476643;0.05;0.04;1.1
7;Beckton;51.514377;0.0615253;0.05;0.03;0.85
8;Beckton Park;51.508901;0.054821942;0.01;0;0
9;Bermondsey;51.497961;-0.064330087;0.32;0.1;0.37
10;Blackfriars;51.511587;-0.10299538;0.01;0.01;2
11;Blackwall;51.507832;-0.007235163;0.04;0;0
12;Bow Church;51.527615;-0.020499896;0.05;0.05;1.4
13;Brixton;51.462737;-0.11455209;0.96;1.16;1.5
14;Caledonian Rd&B'sby;51.543284;-0.11520485;0.03;0;0
15;Caledonian Road;51.547885;-0.11836086;0.26;0.22;1.06
16;Camden Road;51.541851;-0.13920311;0.1;0.21;2.56
17;Canada Water;51.498168;-0.050807118;0.52;0.45;1.08
18;Canary Wharf;51.503578;-0.019466837;1.56;0.45;0.36
19;Canning Town;51.51387;0.008305636;0.38;0.42;1.37
20;Canonbury;51.548188;-0.092574192;0.05;0;0
21;Carpenders Park;51.628186;-0.38582931;0.03;0.01;0.43
22;Carshalton;51.368426;-0.16639832;0.01;0.02;3.51
23;Chalfont & Latimer;51.667907;-0.56106776;0.06;0;0
24;Chesham;51.705379;-0.61142963;0.02;0;0
25;Chorleywood;51.654265;-0.51833391;0.05;0;0
26;Clapham Junction;51.464367;-0.170315;0.18;0.49;3.36
27;Crossharbour;51.49584;-0.01493281;0.07;0.01;0.2
28;Crystal Palace;51.41817;-0.072607229;0.01;0.01;1.52
29;Custom House DLR;51.509622;0.025772514;0.03;0.07;2.66
30;Cutty Sark;51.481944;-0.010581863;0.09;0.03;0.43
31;Cyprus;51.508527;0.063840759;0.07;0.02;0.4
32;Deptford Bridge;51.474477;-0.022052425;0.05;0.02;0.55
33;Devons Road;51.522258;-0.018007751;0.03;0.07;3.26
34;Earls Court;51.491356;-0.1943138;0.86;0.74;1.07
35;East Ham;51.539246;0.051516297;0.58;0.92;1.96
36;East India;51.508684;-0.002370328;0.06;0;0
37;Edgware;51.614229;-0.27509366;0.21;0.72;4.29
38;Elm Park;51.549125;0.19725269;0.12;0.09;0.91
39;Elverson Road;51.468372;-0.016816373;0.01;0.05;5.56
40;Essex Road;51.540633;-0.096365522;0.01;0;0
41;Euston;51.528664;-0.13329647;0.79;0.74;1.16
42;Farringdon;51.520196;-0.10484306;0.62;0.21;0.43
43;Finchley Central;51.600903;-0.19322063;0.26;0.19;0.94
44;Forest Hill;51.439308;-0.053328501;0.01;0.01;2.04
45;Fulham Broadway;51.480261;-0.19554416;0.43;0.45;1.29
46;Gallions Reach;51.509034;0.071775398;0.02;0;0
47;Golders Green;51.572215;-0.19483455;0.43;0.85;2.46
48;Gospel Oak;51.555405;-0.15130103;0.06;0.09;1.7
49;Greenwich DLR;51.477548;-0.01486308;0.03;0.01;0.44
50;Hackney Central;51.547257;-0.055589509;0.13;0.13;1.2
51;Hackney Wick;51.543558;-0.025259499;0.03;0.05;1.98
52;Hammersmith D;51.491819;-0.22286092;1.18;1.72;1.81
53;Hammersmith M;51.493483;-0.22464015;0.25;0.59;2.9
54;Harringay Green Las;51.577146;-0.098217388;0.01;0.02;1.85
55;Harrow Wealdstone;51.592594;-0.33425268;0.18;0.57;3.95
56;Heathrow Term 4;51.45978;-0.44772957;0.05;0.06;1.73
57;Heathrow Term 5;51.470025;-0.49064749;0.13;0.16;1.58
58;Heathrow Terms 123;51.471289;-0.45240721;0.27;0.27;1.25
59;Hendon Central;51.583133;-0.22673413;0.31;0.45;1.78
60;Heron Quays;51.503387;-0.021953529;0.06;0;0
61;High Barnet;51.651688;-0.19416537;0.14;0.21;1.96
62;Highbury;51.546495;-0.10408214;0.67;0.67;1.26
63;Hillingdon;51.553777;-0.44989798;0.07;0.11;2
64;Homerton;51.546595;-0.038512344;0.1;0.24;2.82
65;Hounslow East;51.473707;-0.35527531;0.19;0.14;0.91
66;Hounslow West;51.473105;-0.38570762;0.12;0.14;1.39
67;Imperial Wharf;51.474939;-0.1828375;0.03;0.09;4.15
68;Island Gardens;51.48795;-0.0104933;0.04;0.02;0.6
69;Kensington Olympia;51.497879;-0.21037924;0.09;0.01;0.15
70;Kew Gardens;51.476789;-0.285381;0.16;0.1;0.75
71;Kilburn;51.546944;-0.20463271;0.33;0.6;2.24
72;King George V;51.502009;0.062206217;0.03;0.04;1.89
73;Kings Cross;51.530798;-0.12275642;0;0;0
74;Kings Cross M;51.530312;-0.12387213;0.5;0.57;1.41
75;Kings Cross T;51.530312;-0.12387213;1.35;1.36;1.25
76;Kingsbury;51.584876;-0.2786016;0.14;0.33;2.94
77;Langdon Park;51.518884;-0.015213796;0.03;0.02;0.82
78;Lewisham DLR;51.464881;-0.012432698;0.1;0.03;0.4
79;Limehouse DLR;51.512312;-0.039380074;0.11;0.01;0.12
80;Limehouse NR;51.512312;-0.039380074;0.06;0.06;1.36
81;London Bridge;51.504674;-0.086005594;2.13;1.88;1.1
82;London City Airport;51.50369;0.047872719;0.06;0;0
83;Mudchute;51.491236;-0.014959942;0.03;0;0
84;New Cross;51.476429;-0.032278808;0;0;0
85;North Greenwich;51.500255;0.003586262;0.63;0.46;0.91
86;Oakwood;51.647638;-0.13185354;0.14;0.2;1.81
87;Pinner;51.592361;-0.38122378;0.11;0.12;1.33
88;Pontoon Dock;51.502216;0.033325711;0.02;0;0
89;Poplar;51.507588;-0.01727549;0.03;0;0
90;Prince Regent;51.509435;0.033488577;0.03;0.01;0.52
91;Pudding Mill Lane;51.534328;-0.012768509;0.03;0;0
92;Richmond;51.463232;-0.30173913;0.33;0.18;0.69
93;Roding Valley;51.616957;0.04402621;0.02;0;0
94;Royal Albert;51.508494;0.045177148;0.03;0.01;0.42
95;Royal Victoria;51.509055;0.017965416;0.05;0.01;0.25
96;Shadwell DLR;51.5113;-0.056919204;0.15;0.02;0.17
97;South Acton;51.499685;-0.2702152;0.02;0;0
98;South Quay;51.500864;-0.018460689;0.06;0.01;0.21
99;Southwark;51.503853;-0.10579494;0.3;0.18;0.75
100;Stanmore;51.619673;-0.30309928;0.11;0.07;0.83
101;Stratford;51.541693;-0.003751638;1.38;1.57;1.42
102;Sudbury Town;51.551397;-0.31634348;0.13;0.14;1.29
103;Sydenham SR;51.427341;-0.055088667;0.01;0.02;2.82
104;Tottenham Hale;51.587998;-0.060187819;0.28;0.42;1.85
105;Tower Gateway;51.510393;-0.074409874;0.04;0.01;0.35
106;Upminster;51.558764;0.25140081;0.18;0.1;0.66
107;Upney;51.538406;0.10153175;0.12;0.11;1.11
108;Uxbridge;51.546454;-0.47710154;0.34;0.7;2.52
109;Walthamstow Qns R;51.581546;-0.02384394;0.01;0;0
110;Waterloo;51.503146;-0.11325925;1.1;0.76;0.86
111;Watford Junction;51.663882;-0.39617194;0.09;0.07;1.01
112;Wembley Central;51.551864;-0.29639232;0.19;0.39;2.51
113;Wembley Park;51.563322;-0.27924254;0.36;0.7;2.42
114;West Brompton;51.487329;-0.19553881;0.15;0.14;1.18
115;West Croydon;51.378552;-0.10203429;0.02;0.18;10.12
116;West Finchley;51.609262;-0.1889171;0.07;0.09;1.59
117;West Ham;51.528526;0.005317397;0.15;0.15;1.28
118;West India Quay;51.506763;-0.020582444;0.02;0;0
119;West Silvertown;51.502884;0.02224605;0.04;0.01;0.32
120;Westferry;51.509638;-0.026323134;0.07;0.01;0.18
121;Westminster;51.501401;-0.12500208;0.57;0.35;0.77
122;Willesden Junction;51.532234;-0.24390914;0.17;0.32;2.29
123;Wimbledon;51.421108;-0.20666283;0.48;0.28;0.71
124;Wood Lane;51.509658;-0.2244726;0.08;0.14;2.1
125;Woodford;51.607202;0.034056206;0.26;0.25;1.2
126;Woodside Park;51.617868;-0.1854255;0.13;0.02;0.2
127;Woolwich Arsenal DLR;51.489907;0.06919391;0.19;0.21;1.41
